Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Diploma ,2007,47. Mechanic and repair technologies/technicians,2,"$67,000", 150 
Diploma ,2008,47. Mechanic and repair technologies/technicians,2,"$63,300", 180 
Diploma ,2009,47. Mechanic and repair technologies/technicians,2,"$65,100", 140 
Diploma ,2010,47. Mechanic and repair technologies/technicians,2,"$60,600", 150 
Diploma ,2011,47. Mechanic and repair technologies/technicians,2,"$75,900", 150 
Diploma ,2012,47. Mechanic and repair technologies/technicians,2,"$66,600", 170 
Diploma ,2013,47. Mechanic and repair technologies/technicians,2,"$57,500", 190 
Diploma ,2005,48. Precision production,2,"$110,100", 70 
Diploma ,2006,48. Precision production,2,n/a, n/a 
Diploma ,2007,48. Precision production,2,n/a, n/a 
Diploma ,2008,48. Precision production,2,n/a, n/a 
Diploma ,2009,48. Precision production,2,"$89,300", 40 
Diploma ,2010,48. Precision production,2,"$129,200", 40 
Diploma ,2011,48. Precision production,2,"$108,200", 60 
Diploma ,2012,48. Precision production,2,"$137,700", 50 
Diploma ,2013,48. Precision production,2,"$136,700", 60 
Diploma ,2005,50. Visual and performing arts,2,"$30,900", 170 
Diploma ,2006,50. Visual and performing arts,2,"$35,400", 180 
Diploma ,2007,50. Visual and performing arts,2,"$34,000", 180 
Diploma ,2008,50. Visual and performing arts,2,"$30,200", 170 
Diploma ,2009,50. Visual and performing arts,2,"$30,900", 170 
Diploma ,2010,50. Visual and performing arts,2,"$33,800", 170 
Diploma ,2011,50. Visual and performing arts,2,"$32,100", 190 
Diploma ,2012,50. Visual and performing arts,2,"$31,500", 180 
Diploma ,2013,50. Visual and performing arts,2,"$33,000", 160 
Diploma ,2005,51. Health professions and related programs,2,"$56,100", 770 
Diploma ,2006,51. Health professions and related programs,2,"$58,200", 700 
Diploma ,2007,51. Health professions and related programs,2,"$53,400", 950 
Diploma ,2008,51. Health professions and related programs,2,"$53,500"," 1,030 "
Diploma ,2009,51. Health professions and related programs,2,"$51,600"," 1,190 "
Diploma ,2010,51. Health professions and related programs,2,"$51,700"," 1,230 "
Diploma ,2011,51. Health professions and related programs,2,"$51,300"," 1,370 "
Diploma ,2012,51. Health professions and related programs,2,"$49,900"," 1,370 "
Diploma ,2013,51. Health professions and related programs,2,"$50,800"," 1,370 "
Diploma ,2005,"52. Business, management, marketing and related support services",2,"$43,900"," 1,160 "
Diploma ,2006,"52. Business, management, marketing and related support services",2,"$44,800"," 1,280 "
Diploma ,2007,"52. Business, management, marketing and related support services",2,"$43,400"," 1,190 "
Diploma ,2008,"52. Business, management, marketing and related support services",2,"$42,700"," 1,160 "
Diploma ,2009,"52. Business, management, marketing and related support services",2,"$42,000"," 1,080 "
