Credential,Graduating Cohort,Field of Study (CIP code),Years After Graduation,Median Income, Cohort Size 
Bachelor's degree,2005,23. English language and literature/letters,5,"$51,100", 90 
Bachelor's degree,2006,23. English language and literature/letters,5,"$41,900", 90 
Bachelor's degree,2007,23. English language and literature/letters,5,"$43,700", 90 
Bachelor's degree,2008,23. English language and literature/letters,5,"$48,900", 80 
Bachelor's degree,2009,23. English language and literature/letters,5,"$45,800", 100 
Bachelor's degree,2010,23. English language and literature/letters,5,"$44,700", 100 
Bachelor's degree,2005,"24. Liberal arts and sciences, general studies and humanities",5,"$51,500", 110 
Bachelor's degree,2006,"24. Liberal arts and sciences, general studies and humanities",5,"$52,400", 140 
Bachelor's degree,2007,"24. Liberal arts and sciences, general studies and humanities",5,"$56,500", 120 
Bachelor's degree,2008,"24. Liberal arts and sciences, general studies and humanities",5,"$51,500", 140 
Bachelor's degree,2009,"24. Liberal arts and sciences, general studies and humanities",5,"$54,400", 140 
Bachelor's degree,2010,"24. Liberal arts and sciences, general studies and humanities",5,"$48,500", 110 
Bachelor's degree,2005,26. Biological and biomedical sciences,5,"$55,000", 160 
Bachelor's degree,2006,26. Biological and biomedical sciences,5,"$57,300", 170 
Bachelor's degree,2007,26. Biological and biomedical sciences,5,"$56,500", 180 
Bachelor's degree,2008,26. Biological and biomedical sciences,5,"$61,800", 180 
Bachelor's degree,2009,26. Biological and biomedical sciences,5,"$58,500", 150 
Bachelor's degree,2010,26. Biological and biomedical sciences,5,"$56,400", 150 
Bachelor's degree,2005,27. Mathematics and statistics,5,"$59,800", 30 
Bachelor's degree,2006,27. Mathematics and statistics,5,"$54,700", 30 
Bachelor's degree,2007,27. Mathematics and statistics,5,"$61,300", 40 
Bachelor's degree,2008,27. Mathematics and statistics,5,"$54,800", 40 
Bachelor's degree,2009,27. Mathematics and statistics,5,"$64,700", 40 
Bachelor's degree,2010,27. Mathematics and statistics,5,"$59,400", 30 
Bachelor's degree,2005,30. Multidisciplinary/interdisciplinary studies,5,"$59,200", 30 
Bachelor's degree,2006,30. Multidisciplinary/interdisciplinary studies,5,"$60,400", 40 
Bachelor's degree,2007,30. Multidisciplinary/interdisciplinary studies,5,"$74,700", 60 
Bachelor's degree,2008,30. Multidisciplinary/interdisciplinary studies,5,"$68,100", 60 
Bachelor's degree,2009,30. Multidisciplinary/interdisciplinary studies,5,"$60,600", 40 
Bachelor's degree,2010,30. Multidisciplinary/interdisciplinary studies,5,"$67,500", 40 
Bachelor's degree,2005,"31. Parks, recreation, leisure and fitness studies",5,"$56,000", 150 
Bachelor's degree,2006,"31. Parks, recreation, leisure and fitness studies",5,"$52,900", 140 
Bachelor's degree,2007,"31. Parks, recreation, leisure and fitness studies",5,"$55,800", 150 
Bachelor's degree,2008,"31. Parks, recreation, leisure and fitness studies",5,"$55,400", 130 
Bachelor's degree,2009,"31. Parks, recreation, leisure and fitness studies",5,"$49,400", 120 
Bachelor's degree,2010,"31. Parks, recreation, leisure and fitness studies",5,"$50,100", 150 
Bachelor's degree,2005,38. Philosophy and religious studies,5,"$47,000", 30 
Bachelor's degree,2006,38. Philosophy and religious studies,5,"$44,500", 20 
Bachelor's degree,2007,38. Philosophy and religious studies,5,"$36,400", 20 
